name,net_worth,territory,image
Bernard Arnault and Family,211,LVMH,https://images.forbes.com/media/2010/11/03/1103_bernard-arnault_400x400.jpg
Elon Musk,180,"Tesla,SpaceX",https://upload.wikimedia.org/wikipedia/commons/4/49/Elon_Musk_2015.jpg
Jeff Bezos,114,Amazon,https://media.newyorker.com/photos/5c5daf63ae58262aa8c4a1b6/master/w_2560%2Cc_limit/Cassidy-Bezos.jpg
Larry Ellison,107,Oracle,https://api.time.com/wp-content/uploads/2014/09/larry-ellison.jpg
Warren Buffet,106,Bershire Hathway,https://advice4finance.com/wp-content/uploads/2018/12/Warren-Buffet.jpg
Bill gates,104,Microsoft,https://www.itreseller.ch/imgserver/Artikel/Personen/2020/mid/Bill_Gates_200316_090318.jpg
Michael Bloomberg,94.5,Bollomberg LP,https://media.vanityfair.com/photos/5bfc230249a5732cd95df343/master/w_2560%2Cc_limit/l-Wall-Street-Pro-Bloomberg.jpg
Carlos Slim Helu and Family,93,Telecom,https://1.bp.blogspot.com/-4cm2p9jZJfw/Tq9oLqC0r-I/AAAAAAAAA9g/e8_Fz4OHEeM/s1600/Carlos+Slim+Helu.jpg
Mukesh Ambani,83.4,Diversified,https://vz.cnwimg.com/wp-content/uploads/2013/11/GettyImages-187455378.jpg
Steve Ballmer,80.7,Microsoft,https://myce.wiki/wp-content/images_posts/2017/05/Steve_Ballmer_at_CES_2010_cropped.jpg
