Year,Rank,Rider,Time,Team
1903,1,Maurice Garin (FRA),"94h 33' 14""",La Française
1903,2,Lucien Pothier (FRA),"+ 2h 59' 21""",La Française
1903,3,Fernand Augereau (FRA),"+ 4h 29' 24""",La Française
1903,4,Rodolfo Muller[27] (ITA),"+ 4h 39' 30""",La Française
1903,5,Jean Fischer (FRA),"+ 4h 58' 44""",La Française
1903,6,Marcel Kerff (BEL),"+ 5h 52' 24""",
1903,7,Julien Lootens (BEL),"+ 8h 31' 08""",Brennabor
1903,8,Georges Pasquier (FRA),"+ 10h 24' 04""",La Française
1903,9,François Beaugendre (FRA),"+ 10h 52' 14""",
1903,10,Aloïs Catteau (BEL),"+ 12h 44' 57""",La Française
1903,11,Jean Dargassies (FRA),"+ 13h 49' 10""",Gladiator
1903,12,Ferdinand Payan (FRA),"+ 19h 09' 02""",Champeyrache
1903,13,Julien Girbe (FRA),"+ 23h 16' 52""",JC Cycles
1903,14,Isidore Lechartier (FRA),"+ 24h 05' 13""",Gladiator
1903,15,Josef Fischer (GER),"+ 25h 14' 26""",Diamant
1903,16,Alexandre Foureaux (FRA),"+ 31h 50' 52""",
1903,17,René Salais (FRA),"+ 32h 34' 43""",
1903,18,Emile Moulin (FRA),"+ 49h 43' 14""",
1903,19,Georges Borot (FRA),"+ 51h 37' 38""",
1903,20,Pierre Desvages (FRA),"+ 62h 53' 54""",
1903,21,Arsène Millocheau (FRA),"+ 64h 57' 08""",
1904,1,Henri Cornet (FRA),"96h 05' 55""",
1904,2,Jean-Baptiste Dortignacq (FRA),"+ 2h 16' 14""",
1904,3,Aloïs Catteau (BEL),"+ 9h 01' 25""",
1904,4,Jean Dargassies (FRA),"+ 13h 04' 30""",
1904,5,Julien Maitron (FRA),"+ 19h 06' 15""",
1904,6,Auguste Daumain (FRA),"+ 22h 44' 36""",
1904,7,Louis Coolsaet (BEL),"+ 23h 44' 20""",
1904,8,Achille Colas (FRA),"+ 25h 09' 50""",
1904,9,René Saget (FRA),"+ 25h 55' 16""",
1904,10,Gustave Drioul (BEL),"+ 30h 54' 49""",
1904,11,Henri Paret (FRA),"+ 32h 18' 39""",
1904,12,Auguste Gauthier (FRA),"+ 33h 14' 02""",
1904,13,Auguste Rist (FRA),"+ 35h 01' 20""",
1904,14,Damelincourt (FRA),"+ 48h 39' 03""",
1904,15,Antoine Deflotriere (FRA),"+ 101h 28' 52""",
1905,1,Louis Trousselier (FRA),,Peugeot-Wolber
1905,2,Hippolyte Aucouturier (FRA),,Peugeot-Wolber
1905,3,Jean-Baptiste Dortignacq (FRA),,Saving
1905,4,Emile Georget (FRA),,JC Cycles
1905,5,Lucien Petit-Breton (FRA),,JC Cycles
1905,6,Augustin Ringeval (FRA),,JC Cycles
1905,7,Paul Chauvet (FRA),,Griffon
1905,8,Philippe Pautrat (FRA),,JC Cycles
1905,9,Julien Maitron (FRA),,Peugeot-Wolber/Griffon
1905,10,Julien Gabory (FRA),,JC Cycles
1905,11,Alois Catteau (BEL),,Catteau Cycles
1905,12,Martin Soulie (FRA),,JC Cycles
1905,13,Léon Leygoute (FRA),,Peugeot-Wolber
1905,14,Camille Fily (FRA),,Guerin Cycles
1905,15,Antony Wattelier (FRA),,Peugeot-Wolber
1905,16,Henri Lignon (FRA),,JC Cycles
1905,17,Maurice Decaup (FRA),,Alcyon-Dunlop
1905,18,Maurice Carrere (FRA),,Pirate-Michelin
1905,19,Gustave Guillarme (FRA),,Renault
1905,20,Julien Lootens (BEL),,JC Cycles
1905,21,Pinchau (FRA),,
1905,22,Eugène Ventresque (FRA),,Saving
1905,23,Fernand Lallement (FRA),,Peugeot-Wolber
1905,24,Clovis Lacroix (FRA),,Saving
1906,1,René Pottier (FRA),,Peugeot
1906,2,Georges Passerieu (FRA),,Peugeot
1906,3,Louis Trousselier (FRA),,Peugeot
1906,4,Lucien Petit-Breton (FRA),,Peugeot
1906,5,Emile Georget (FRA),,Alcyon–Dunlop
1906,6,Aloïs Catteau (BEL),,Alcyon–Dunlop
1906,7,Édouard Wattelier (FRA),,Labor
1906,8,Léon Georget (FRA),,Alcyon–Dunlop
1906,9,Eugène Christophe (FRA),,Labor
1906,10,Anthony Wattelier (FRA),,Alcyon–Dunlop
1906,11,Georges Fleury (FRA),,Rochet
1906,12,Ferdinand Payan (FRA),,Chapmeyrache/MIC Cycles
1906,13,Léon Winant (FRA),,
1906,14,Georges Bronchard (FRA),,Biguet
1907,1,Lucien Petit-Breton (FRA),,Peugeot-Wolber
1907,2,Gustave Garrigou (FRA),,Peugeot-Wolber
1907,3,Emile Georget (FRA),,Peugeot-Wolber
1907,4,Georges Passerieu (FRA),,Peugeot-Wolber
1907,5,François Beaugendre (FRA),,Peugeot-Wolber
1907,6,Eberardo Pavesi (ITA),,Otav
1907,7,François Faber (LUX),,Labor-Dunlop
1907,8,Augustin Ringeval (FRA),,Labor-Dunlop
1907,9,Aloïs Catteau (BEL),,
1907,10,Ferdinand Payan (FRA),,
1907,11,Pierre-Gonzague Privat (FRA),,
1907,12,Georges Fleury (FRA),,
1907,13,François Lafourcade (FRA),,Montabro
1907,14,Marius Villette (FRA),,
1907,15,Alzir Vivier (FRA),,
1907,16,Gaston Tuvache (FRA),,
1907,17,Eugène Delhaye (BEL),,
1907,18,Baptiste Roux (FRA),,
1907,19,Philippe Pautrat (FRA),,
1907,20,Henri Timmermann (BEL),,
1907,21,Georges Bronchard (FRA),,
1907,22,Marceau Narcy (FRA),,Biguet-Soly
1907,23,Honoré Genin (FRA),,Peugeot-Wolber
1907,24,Antony Wattelier (FRA),,Labor-Dunlop/Montabro
1907,25,Albert Baudet (FRA),,
1907,26,Alfred Le Bars (FRA),,Labor-Dunlop
1907,27,Alfred Quenon (FRA),,
1907,28,Henri Lorillon (FRA),,Touiller
1907,29,René Fleury (FRA),,
1907,30,Octave Noël (FRA),,Furor Cycles
1907,31,Albert Géraud (FRA),,JC Cycles
1907,32,Marcel Dozol (FRA),,
1907,33,Albert Chartier (FRA),,
1908,1,Lucien Petit-Breton (FRA),,Peugeot–Wolber
1908,2,François Faber (LUX),,Peugeot–Wolber
1908,3,Georges Passerieu (FRA),,Peugeot–Wolber
1908,4,Gustave Garrigou (FRA),,Peugeot–Wolber
1908,5,Luigi Ganna (ITA),,Alcyon–Dunlop
1908,6,Georges Paulmier (FRA),,Peugeot–Wolber
1908,7,Georges Fleury (FRA),,Peugeot–Wolber
1908,8,Henri Cornet (FRA),,Peugeot–Wolber
1908,9,Marcel Godivier (FRA),,Alcyon–Dunlop
1908,10,Giovanni Rossignoli (ITA),,Bianchi
