Year,Date,Stage,Course,Distance,Type,Winner
1903,1903-07-01,1,Paris to Lyon,467 km (290 mi),Plain stage,Maurice Garin (FRA)
1903,1903-07-05,2,Lyon to Marseille,374 km (232 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA)
1903,1903-07-08,3,Marseille to Toulouse,423 km (263 mi),Plain stage,Hippolyte Aucouturier (FRA)
1903,1903-07-12,4,Toulouse to Bordeaux,268 km (167 mi),Plain stage,Charles Laeser (SUI)
1903,1903-07-13,5,Bordeaux to Nantes,425 km (264 mi),Plain stage,Maurice Garin (FRA)
1903,1903-07-18,6,Nantes to Paris,471 km (293 mi),Plain stage,Maurice Garin (FRA)
1904,1904-07-02,1,Montgeron to Lyon,467 km (290 mi),Plain stage,Maurice Garin (FRA)
1904,1904-07-09,2,Lyon to Marseille,374 km (232 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA)
1904,1904-07-13,3,Marseille to Toulouse,424 km (263 mi),Plain stage,Hippolyte Aucouturier (FRA)
1904,1904-07-17,4,Toulouse to Bordeaux,268 km (167 mi),Plain stage,Lucien Pothier (FRA)
1904,1904-07-20,5,Bordeaux to Nantes,425 km (264 mi),Plain stage,Hippolyte Aucouturier (FRA)
1904,1904-07-23,6,Nantes to Paris,471 km (293 mi),Plain stage,Hippolyte Aucouturier (FRA)
1905,1905-07-09,1,Paris to Nancy,340 km (210 mi),Plain stage,Louis Trousselier (FRA)
1905,1905-07-11,2,Nancy to Besançon,299 km (186 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA)
1905,1905-07-14,3,Besançon to Grenoble,327 km (203 mi),Plain stage,Louis Trousselier (FRA)
1905,1905-07-16,4,Grenoble to Toulon,348 km (216 mi),Stage with mountain(s),Hippolyte Aucouturier (FRA)
1905,1905-07-18,5,Toulon to Nîmes,192 km (119 mi),Plain stage,Louis Trousselier (FRA)
1905,1905-07-20,6,Nîmes to Toulouse,307 km (191 mi),Plain stage,Jean-Baptiste Dortignacq (FRA)
1905,1905-07-22,7,Toulouse to Bordeaux,268 km (167 mi),Plain stage,Louis Trousselier (FRA)
1905,1905-07-24,8,Bordeaux to La Rochelle,257 km (160 mi),Plain stage,Hippolyte Aucouturier (FRA)
1905,1905-07-26,9,La Rochelle to Rennes,263 km (163 mi),Plain stage,Louis Trousselier (FRA)
1905,1905-07-28,10,Rennes to Caen,167 km (104 mi),Plain stage,Jean-Baptiste Dortignacq (FRA)
1905,1905-07-29,11,Caen to Paris,253 km (157 mi),Plain stage,Jean-Baptiste Dortignacq (FRA)
1906,1906-07-04,1,Paris to Lille,275 km (171 mi),Plain stage,Emile Georget (FRA)
1906,1906-07-06,2,Douai to Nancy,400 km (250 mi),Plain stage,René Pottier (FRA)
1906,1906-07-08,3,Nancy to Dijon,416 km (258 mi),Stage with mountain(s),René Pottier (FRA)
1906,1906-07-10,4,Dijon to Grenoble,311 km (193 mi),Plain stage,René Pottier (FRA)
1906,1906-07-12,5,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),René Pottier (FRA)
1906,1906-07-14,6,Nice to Marseille,292 km (181 mi),Plain stage,Georges Passerieu (FRA)
1906,1906-07-16,7,Marseille to Toulouse,480 km (300 mi),Plain stage,Louis Trousselier (FRA)
1906,1906-07-18,8,Toulouse to Bayonne,300 km (190 mi),Plain stage,Jean-Baptiste Dortignacq (FRA)
1906,1906-07-20,9,Bayonne to Bordeaux,338 km (210 mi),Plain stage,Louis Trousselier (FRA)
1906,1906-07-22,10,Bordeaux to Nantes,391 km (243 mi),Plain stage,Louis Trousselier (FRA)
1906,1906-07-24,11,Nantes to Brest,321 km (199 mi),Plain stage,Louis Trousselier (FRA)
1906,1906-07-26,12,Brest to Caen,415 km (258 mi),Plain stage,Georges Passerieu (FRA)
1906,1906-07-29,13,Caen to Paris,259 km (161 mi),Plain stage,René Pottier (FRA)
1907,1907-07-08,1,Paris to Roubaix,272 km (169 mi),Plain stage,Louis Trousselier (FRA)
1907,1907-07-10,2,Roubaix to Metz,398 km (247 mi),Plain stage,Emile Georget (FRA)[b] Louis Trousselier (FRA)[b]
1907,1907-07-12,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),Emile Georget (FRA)
1907,1907-07-14,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),Marcel Cadolle (FRA)
1907,1907-07-16,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),Emile Georget (FRA)
1907,1907-07-18,6,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),Georges Passerieu (FRA)
1907,1907-07-20,7,Nice to Nîmes,345 km (214 mi),Plain stage,Emile Georget (FRA)
1907,1907-07-22,8,Nîmes to Toulouse,303 km (188 mi),Plain stage,Emile Georget (FRA)
1907,1907-07-24,9,Toulouse to Bayonne,299 km (186 mi),Plain stage,Lucien Petit-Breton (FRA)
1907,1907-07-26,10,Bayonne to Bordeaux,269 km (167 mi),Plain stage,Gustave Garrigou (FRA)
1907,1907-07-28,11,Bordeaux to Nantes,391 km (243 mi),Plain stage,Lucien Petit-Breton (FRA)
1907,1907-07-30,12,Nantes to Brest,321 km (199 mi),Plain stage,Gustave Garrigou (FRA)
1907,1907-08-01,13,Brest to Caen,415 km (258 mi),Plain stage,Emile Georget (FRA)
1907,1907-08-04,14,Caen to Paris,251 km (156 mi),Plain stage,Georges Passerieu (FRA)
1908,1908-07-13,1,Paris to Roubaix,272 km (169 mi),Plain stage,Georges Passerieu (FRA)
1908,1908-07-15,2,Roubaix to Metz,398 km (247 mi),Plain stage,Lucien Petit-Breton (FRA)
1908,1908-07-17,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),François Faber (LUX)
1908,1908-07-19,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),François Faber (LUX)
1908,1908-07-21,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),Georges Passerieu (FRA)
1908,1908-07-23,6,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),Jean-Baptiste Dortignacq (FRA)
1908,1908-07-25,7,Nice to Nîmes,354 km (220 mi),Plain stage,Lucien Petit-Breton (FRA)
1908,1908-07-27,8,Nîmes to Toulouse,303 km (188 mi),Plain stage,François Faber (LUX)
1908,1908-07-29,9,Toulouse to Bayonne,299 km (186 mi),Plain stage,Lucien Petit-Breton (FRA)
1908,1908-07-31,10,Bayonne to Bordeaux,269 km (167 mi),Plain stage,Georges Paulmier (FRA)
1908,1908-08-02,11,Bordeaux to Nantes,391 km (243 mi),Plain stage,Lucien Petit-Breton (FRA)
1908,1908-08-04,12,Nantes to Brest,321 km (199 mi),Plain stage,François Faber (LUX)
1908,1908-08-06,13,Brest to Caen,415 km (258 mi),Plain stage,Georges Passerieu (FRA)
1908,1908-08-09,14,Caen to Paris,251 km (156 mi),Plain stage,Lucien Petit-Breton (FRA)
1909,1909-07-05,1,Paris to Roubaix,272 km (169 mi),Plain stage,Cyrille van Hauwaert (BEL)
1909,1909-07-07,2,Roubaix to Metz,398 km (247 mi),Plain stage,François Faber (LUX)
1909,1909-07-09,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),François Faber (LUX)
1909,1909-07-11,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),François Faber (LUX)
1909,1909-07-13,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),François Faber (LUX)
1909,1909-07-15,6,Grenoble to Nice,346 km (215 mi),Stage with mountain(s),François Faber (LUX)
1909,1909-07-17,7,Nice to Nîmes,345 km (214 mi),Plain stage,Ernest Paul (FRA)
1909,1909-07-19,8,Nîmes to Toulouse,303 km (188 mi),Plain stage,Jean Alavoine (FRA)
1909,1909-07-21,9,Toulouse to Bayonne,299 km (186 mi),Plain stage,Constant Ménager (FRA)
1909,1909-07-23,10,Bayonne to Bordeaux,269 km (167 mi),Plain stage,François Faber (LUX)
1909,1909-07-25,11,Bordeaux to Nantes,391 km (243 mi),Plain stage,Louis Trousselier (FRA)
1909,1909-07-27,12,Nantes to Brest,321 km (199 mi),Plain stage,Gustave Garrigou (FRA)
1909,1909-07-29,13,Brest to Caen,424 km (263 mi),Plain stage,Paul Duboc (FRA)
1909,1909-08-01,14,Caen to Paris,250 km (160 mi),Plain stage,Jean Alavoine (FRA)
1910,1910-07-03,1,Paris to Roubaix,269 km (167 mi),Plain stage,Charles Crupelandt (FRA)
1910,1910-07-05,2,Roubaix to Metz,398 km (247 mi),Plain stage,François Faber (LUX)
1910,1910-07-07,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),Emile Georget (FRA)
1910,1910-07-09,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),François Faber (LUX)
1910,1910-07-11,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),Octave Lapize (FRA)
1910,1910-07-13,6,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),Julien Maitron (FRA)
