Year,Country,Rider,Team,Time,Margin,Stages Won,Stages Led,Avg Speed,Height,Weight,Born,Died
1903,France,Maurice Garin,La Française,"94h 33' 14""","+ 2h 59' 21""",3,6,25.7km/h,1.62m,60kg,1871-03-03,1957-02-19
1904,France,Henri Cornet,Conte,"96h 05' 55""","+ 2h 16' 14""",1,3,25.3km/h,,,1884-08-04,1941-03-18
1905,France,Louis Trousselier,Peugeot–Wolber,,,5,10,,,,1881-06-29,1939-04-24
1906,France,René Pottier,Peugeot–Wolber,,,5,12,,,,1879-06-05,1907-01-25
1907,France,Lucien Petit-Breton,Peugeot–Wolber,,,2,5,,,,1882-10-18,1917-12-20
1908,France,Lucien Petit-Breton,Peugeot–Wolber,,,5,13,,,,1882-10-18,1917-12-20
1909,Luxembourg,François Faber,Alcyon–Dunlop,,,6,13,,1.78m,88kg,1887-01-26,1915-05-09
1910,France,Octave Lapize,Alcyon–Dunlop,,,4,3,,,,1887-10-24,1917-07-14
1911,France,Gustave Garrigou,Alcyon–Dunlop,,,2,13,,,,1884-09-24,1963-01-28
1912,Belgium,Odile Defraye,Alcyon–Dunlop,,,3,13,,,,1888-07-14,1965-08-21
1913,Belgium,Philippe Thys,Peugeot–Wolber,"197h 54' 00""","+ 8' 37""",1,8,26.7km/h,,,1889-10-08,1971-01-16
1914,Belgium,Philippe Thys,Peugeot–Wolber,"200h 28' 48""","+ 1' 50""",1,15,26.8km/h,,,1889-10-08,1971-01-16
1919,Belgium,Firmin Lambot,La Sportive,"231h 07' 15""","+ 1h 42' 54""",1,2,24.1km/h,,,1886-03-14,1964-01-19
1920,Belgium,Philippe Thys,La Sportive,"228h 36' 13""","+ 57' 21""",4,14,24.1km/h,,,1889-10-08,1971-01-16
1921,Belgium,Léon Scieur,La Sportive,"221h 50' 26""","+ 18' 36""",2,14,24.7km/h,,,1888-03-18,1969-10-07
1922,Belgium,Firmin Lambot,Peugeot–Wolber,"222h 08' 06""","+ 41' 15""",0,3,24.2km/h,,,1886-03-14,1964-01-19
1923,France,Henri Pélissier,Automoto–Hutchinson,"222h 15' 30""","+ 30 '41""",3,6,24.2km/h,,,1889-01-22,1935-05-01
1924,Italy,Ottavio Bottecchia,Automoto,"226h 18' 21""","+ 35' 36""",4,15,24.0km/h,,,1894-08-01,1927-06-15
1925,Italy,Ottavio Bottecchia,Automoto–Hutchinson,"219h 10' 18""","+ 54' 20""",4,13,24.8km/h,,,1894-08-01,1927-06-15
1926,Belgium,Lucien Buysse,Automoto–Hutchinson,"238h 44' 25""","+ 1h 22' 25""",2,8,24.1km/h,,,1892-09-11,1980-01-03
1927,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,"198h 16' 42""","+ 1h 48' 41""",3,14,27.2km/h,,,1899-11-04,1985-11-08
1928,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,"192h 48' 58""","+ 50' 07""",5,22,28.4km/h,,,1899-11-04,1985-11-08
1929,Belgium,Maurice De Waele,Alcyon–Dunlop,"186h 39' 15""","+ 44' 23""",1,16,28.3km/h,,,1896-12-27,1952-02-14
1930,France,André Leducq,Alcyon–Dunlop,"172h 12' 16""","+ 14' 13""",2,13,28.0km/h,,,1904-02-27,1980-06-18
1931,France,Antonin Magne,France,"177h 10' 03""","+ 12' 56""",1,16,28.7km/h,,,1904-01-15,1983-09-08
1932,France,André Leducq,France,"154h 11' 49""","+ 24' 03""",6,19,29.0km/h,,,1904-02-27,1980-06-18
1933,France,Georges Speicher,France,"147h 51' 37""","+ 4' 01""",3,12,29.7km/h,,,1907-06-08,1978-01-24
1934,France,Antonin Magne,France,"147h 13' 58""","+ 27' 31""",3,22,30.4km/h,,,1904-01-15,1983-09-08
1935,Belgium,Romain Maes,Belgium,"141h 23' 00""","+ 17' 52""",3,21,30.7km/h,,,1912-08-10,1983-02-22
1936,Belgium,Sylvère Maes,Belgium,"142h 47' 32""","+ 26' 55""",4,14,31.1km/h,,,1909-08-27,1966-12-05
1937,France,Roger Lapébie,France,"138h 58' 31""","+ 7' 17""",3,4,31.8km/h,,,1911-01-16,1996-10-12
1938,Italy,Gino Bartali,Italy,"148h 29' 12""","+ 18' 27""",2,8,31.6km/h,1.72m,66kg,1914-07-18,2000-05-05
1939,Belgium,Sylvère Maes,Belgium,"132h 03' 17""","+ 30' 38""",2,8,32.0km/h,,,1909-08-27,1966-12-05
1947,France,Jean Robic,France,"148h 11' 25""","+ 3' 58""",3,1,31.3km/h,1.61m,60kg,1921-06-10,1980-10-06
1948,Italy,Gino Bartali,Italy,"147h 10' 36""","+ 26' 16""",7,9,33.4km/h,1.72m,66kg,1914-07-18,2000-05-05
1949,Italy,Fausto Coppi,Italy,"149h 40' 49""","+ 10' 55""",3,5,32.1km/h,1.77m,68kg,1919-09-15,1960-01-02
1950,Switzerland,Ferdinand Kübler,Switzerland,"145h 36' 56""","+ 9' 30""",3,11,32.8km/h,,,1919-07-24,2016-12-29
1951,Switzerland,Hugo Koblet,Switzerland,"142h 20' 14""","+ 22' 00""",5,11,32.9km/h,,,1925-03-21,1964-11-06
1952,Italy,Fausto Coppi,Italy,"151h 57' 20""","+ 28' 17""",5,14,32.2km/h,1.77m,68kg,1919-09-15,1960-01-02
1953,France,Louison Bobet,France,"129h 23' 25""","+ 14' 18""",2,5,34.6km/h,1.79m,75kg,1925-03-12,1983-03-13
1954,France,Louison Bobet,France,"140h 06' 05""","+ 15' 49""",3,14,33.2km/h,1.79m,75kg,1925-03-12,1983-03-13
1955,France,Louison Bobet,France,"130h 29' 26""","+ 4' 53""",2,6,34.4km/h,1.79m,75kg,1925-03-12,1983-03-13
1956,France,Roger Walkowiak,France,"124h 01' 16""","+ 1' 25""",0,8,36.3km/h,,,1927-03-02,2017-02-06
1957,France,Jacques Anquetil,France,"135h 44' 42""","+ 14' 56""",4,15,34.4km/h,1.76m,70kg,1934-01-08,1987-11-18
1958,Luxembourg,Charly Gaul,Luxembourg,"116h 59' 05""","+ 3' 10""",4,2,36.9km/h,1.73m,64kg,1932-12-08,2005-12-06
1959,Spain,Federico Bahamontes,Spain,"123h 46' 45""","+ 4' 01""",1,6,35.2km/h,,,1928-07-09,
1960,Italy,Gastone Nencini,Italy,"112h 08' 42""","+ 5' 02""",0,14,37.2km/h,,,1930-03-01,1980-02-01
